TERRITORY_ID,NAME_HTML,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HR034,Sibensko-kninska zupanija,5955.75,6017.14,6455.21,7120.44,7653.21,8291.01,8215.39,9206.94,8803.27,7535.49,8039.16,8067.71,7912.64,8179.94,8283.22,8469.27,8886.51,9626.6,9997.39,10473.89,9653.5,11082.47,12031.5
HR035,Splitsko-dalmatinska zupanija,6870.06,7122.64,7345.08,7741.88,8420.36,8436.99,8953.15,9766.0,9539.39,8713.13,8476.11,8236.44,7972.46,8050.3,8132.46,8467.5,8897.64,9255.64,9522.3,10251.77,8989.07,10565.84,11369.3
HR036,Istarska zupanija,11116.47,11923.23,12646.59,13329.47,13847.28,13824.31,14207.33,14832.52,14340.9,13748.14,13449.07,13366.01,12760.37,12871.65,13185.12,13653.95,14612.5,15100.93,15219.97,15532.02,12562.32,15358.06,17053.13
HR037,Dubrovacko-neretvanska zupanija,7601.35,7900.34,8062.53,8737.52,9666.59,10137.79,10661.65,12030.74,11681.28,10797.58,10396.9,10079.95,9972.24,10362.41,10650.71,11153.34,11853.98,12775.1,13011.67,13978.41,10435.61,13148.59,14701.74
HR050,Grad Zagreb,13218.04,14123.94,14906.1,16036.63,16812.88,17856.87,18667.5,19588.78,19903.93,18509.41,19464.7,19466.49,19202.13,18957.44,19064.9,19664.24,20398.15,21272.87,22175.28,23128.76,21535.97,24118.85,25452.12
HR061,Međimurska županija,6406.22,6734.14,7339.87,7369.76,7482.28,7750.48,8458.98,8710.01,9436.6,8815.57,8331.28,8443.49,8231.83,9612.94,8627.07,8859.98,9393.64,9908.06,10331.2,10997.45,10678.36,12197.21,12865.09
HR062,Varaždinska županija,7075.25,7543.43,8257.39,8436.46,8109.05,8346.46,8754.59,9113.47,9655.07,9067.57,8508.73,8533.89,8307.27,8529.55,8634.85,8948.06,9559.86,10222.38,11161.78,11612.21,11273.94,12324.85,13081.34
HR063,Koprivničko-križevačka županija,8483.01,8552.58,8937.3,9049.89,8873.42,8673.78,9597.81,9883.98,9485.97,8785.65,8205.3,8215.99,7972.31,8096.9,8139.32,8314.38,8790.89,9083.38,9084.71,9727.74,9325.58,10441.28,10992.93
HR064,Krapinsko-zagorska županija,5827.53,6423.94,6411.77,6617.74,6618.69,7177.97,7271.03,7815.37,7546.62,6676.37,6181.98,6301.35,6164.76,6337.53,6575.46,6846.49,7362.12,7820.92,8100.35,8564.3,7910.92,8896.42,9465.77
HR065,Zagrebačka županija,6247.27,5851.5,6879.48,7044.08,7409.76,8081.0,7903.12,8606.52,8846.79,8337.29,7748.65,7963.18,7831.54,7842.58,7967.1,8292.09,8622.62,9195.11,9801.92,10320.86,10055.87,11487.18,12180.49
ME000,Crna Gora,3994.14,4020.13,4082.68,4170.08,4343.72,4523.95,4908.56,5232.46,5598.93,5257.89,5391.73,5559.93,5403.96,5590.22,5684.53,5873.89,6045.8,6330.16,6653.17,6925.71,5872.43,6660.91,7110.55
