TERRITORY_ID,NUTS2_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,ln_edu_2000,ln_edu_2001,ln_edu_2002,ln_edu_2003,ln_edu_2004,ln_edu_2005,ln_edu_2006,ln_edu_2007,ln_edu_2008,ln_edu_2009,ln_edu_2010,ln_edu_2011,ln_edu_2012,ln_edu_2013,ln_edu_2014,ln_edu_2015,ln_edu_2016,ln_edu_2017,ln_edu_2018,ln_edu_2019,ln_edu_2020,ln_edu_2021,ln_edu_2022
RS213,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS214,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS215,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS216,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS217,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS218,RS21,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,14.8,16.0,17.1,16.7,17.4,17.7,18.0,18.7,18.8,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.7213,2.6946,2.7726,2.8391,2.8154,2.8565,2.8736,2.8904,2.9285,2.9339
RS221,RS22,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15.2,18.1,19.1,18.3,19.3,19.2,20.0,20.2,21.0,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.7213,2.8959,2.9497,2.9069,2.9601,2.9549,2.9957,3.0057,3.0445
RS222,RS22,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15.2,18.1,19.1,18.3,19.3,19.2,20.0,20.2,21.0,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.7213,2.8959,2.9497,2.9069,2.9601,2.9549,2.9957,3.0057,3.0445
RS223,RS22,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15.2,18.1,19.1,18.3,19.3,19.2,20.0,20.2,21.0,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.7213,2.8959,2.9497,2.9069,2.9601,2.9549,2.9957,3.0057,3.0445
RS224,RS22,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15.2,18.1,19.1,18.3,19.3,19.2,20.0,20.2,21.0,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.8034,2.7213,2.8959,2.9497,2.9069,2.9601,2.9549,2.9957,3.0057,3.0445
