Year;Country;Region_Code;Region_Name;Level;Indicator;Value;Data_Type;Notes
2000;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,26;Actual;
2000;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,1;Actual;
2000;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;48,58;Actual;
2000;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;23,28;Actual;
2000;HR;HR027;Karlova?ka županija;3;KIS Value;21,42;Actual;
2000;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;23,3;Actual;
2000;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;57,8;Actual;
2000;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,12;Actual;
2000;HR;HR033;Zadarska zupanija;3;KIS Value;28,38;Actual;
2000;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17;Actual;
2000;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;74,62;Actual;
2000;HR;HR036;Istarska zupanija;3;KIS Value;37,44;Actual;
2000;HR;HR037;Dubrovacko-neretvanska zupanija;3;KIS Value;23,76;Actual;
2000;HR;HR050;Grad Zagreb;3;KIS Value;284,64;Actual;
2000;HR;HR061;Me?imurska županija;3;KIS Value;13,52;Actual;
2000;HR;HR062;Varaždinska županija;3;KIS Value;25,4;Actual;
2000;HR;HR063;Koprivni?ko-križeva?ka županija;3;KIS Value;13,22;Actual;
2000;HR;HR064;Krapinsko-zagorska županija;3;KIS Value;16,26;Actual;
2000;HR;HR065;Zagreba?ka županija;3;KIS Value;29,44;Actual;
2000;MK;MK001;Vardarski;3;KIS Value;13,26;Actual;
2000;MK;MK002;Istocen;3;KIS Value;15,72;Actual;
2000;MK;MK003;Jugozapaden;3;KIS Value;18,5;Actual;
2000;MK;MK004;Jugoistocen;3;KIS Value;12,66;Actual;
2000;MK;MK005;Pelagoniski;3;KIS Value;25,94;Actual;
2000;MK;MK006;Poloski;3;KIS Value;19,06;Actual;
2000;MK;MK007;Severoistocen;3;KIS Value;10,2;Actual;
2000;MK;MK008;Skopski;3;KIS Value;125,86;Actual;
2000;RS;RS110;?????????? ??????;3;KIS Value;565,64;Actual;
2000;RS;RS121;???????????? ??????;3;KIS Value;26,2;Actual;
2000;RS;RS122;????????????? ??????;3;KIS Value;43,38;Actual;
2000;RS;RS123;?????????? ??????;3;KIS Value;139,5;Actual;
2000;RS;RS124;??????????????? ??????;3;KIS Value;22,3;Actual;
2000;RS;RS125;???????????? ??????;3;KIS Value;31,88;Actual;
2000;RS;RS126;?????????????? ??????;3;KIS Value;27,04;Actual;
2000;RS;RS127;??????? ??????;3;KIS Value;24,12;Actual;
2000;RS;RS211;??????????? ??????;3;KIS Value;40,12;Actual;
2000;RS;RS212;?????????? ??????;3;KIS Value;24,78;Actual;
2000;RS;RS213;????????? ??????;3;KIS Value;35,04;Actual;
2000;RS;RS214;????????? ??????;3;KIS Value;25,12;Actual;
2000;RS;RS215;?????????? ??????;3;KIS Value;32,16;Actual;
2000;RS;RS216;???????? ??????;3;KIS Value;28,38;Actual;
2000;RS;RS217;????? ??????;3;KIS Value;37,18;Actual;
2000;RS;RS218;?????????? ??????;3;KIS Value;76,12;Actual;
2000;RS;RS221;?????? ??????;3;KIS Value;20,76;Actual;
2000;RS;RS222;??????????? ??????;3;KIS Value;23,1;Actual;
2000;RS;RS223;?????????? ??????;3;KIS Value;25,64;Actual;
2000;RS;RS224;?????????? ??????;3;KIS Value;32,2;Actual;
2000;RS;RS225;???????? ??????;3;KIS Value;63,5;Actual;
2000;RS;RS226;???????? ??????;3;KIS Value;11,72;Actual;
2000;RS;RS227;?????????? ??????;3;KIS Value;29,96;Actual;
2000;RS;RS228;??????? ??????;3;KIS Value;15,6;Actual;
2000;RS;RS229;???????? ??????;3;KIS Value;10,62;Actual;
2000;RS;RSZZZ;Extra regio (RS);3;KIS Value;0,61;Actual;
2000;SI;SI031;Pomurska;3;KIS Value;19,42;Actual;
2000;SI;SI032;Podravska;3;KIS Value;78,38;Actual;
2000;SI;SI033;Koroska;3;KIS Value;13,38;Actual;
2000;SI;SI034;Savinjska;3;KIS Value;49,92;Actual;
2000;SI;SI035;Zasavska;3;KIS Value;9,28;Actual;
2000;SI;SI036;Posavska;3;KIS Value;12,26;Actual;
2000;SI;SI037;Jugovzhodna Slovenija;3;KIS Value;26,42;Actual;
2000;SI;SI038;Primorsko-notranjska;3;KIS Value;10,82;Actual;
2000;SI;SI041;Osrednjeslovenska;3;KIS Value;199,78;Actual;
2000;SI;SI042;Gorenjska;3;KIS Value;35,52;Actual;
2000;SI;SI043;Goriska;3;KIS Value;23;Actual;
2000;SI;SI044;Obalno-kraska;3;KIS Value;26,14;Actual;
2001;HR;HR021;Bjelovarsko-bilogorska županija;3;KIS Value;15,92;Actual;
2001;HR;HR022;Viroviti?ko-podravska županija;3;KIS Value;9,64;Actual;
2001;HR;HR023;Požeško-slavonska županija;3;KIS Value;10,24;Actual;
2001;HR;HR024;Brodsko-posavska županija;3;KIS Value;18,12;Actual;
2001;HR;HR025;Osje?ko-baranjska županija;3;KIS Value;48,62;Actual;
2001;HR;HR026;Vukovarsko-srijemska županija;3;KIS Value;23,3;Actual;
2001;HR;HR027;Karlova?ka županija;3;KIS Value;21,38;Actual;
2001;HR;HR028;Sisa?ko-moslava?ka županija;3;KIS Value;23,28;Actual;
2001;HR;HR031;Primorsko-goranska zupanija;3;KIS Value;57,96;Actual;
2001;HR;HR032;Licko-senjska zupanija;3;KIS Value;8,1;Actual;
2001;HR;HR033;Zadarska zupanija;3;KIS Value;28,4;Actual;
2001;HR;HR034;Sibensko-kninska zupanija;3;KIS Value;17,02;Actual;
2001;HR;HR035;Splitsko-dalmatinska zupanija;3;KIS Value;74,8;Actual;
2001;HR;HR036;Istarska zupanija;3;KIS Value;37,5;Actual;
